Group,Load Time (s)_count,Load Time (s)_mean,Load Time (s)_std,Load Time (s)_min,Load Time (s)_max,Train Time (s)_count,Train Time (s)_mean,Train Time (s)_std,Train Time (s)_min,Train Time (s)_max,Test Time (s)_count,Test Time (s)_mean,Test Time (s)_std,Test Time (s)_min,Test Time (s)_max,Test Accuracy_count,Test Accuracy_mean,Test Accuracy_std,Test Accuracy_min,Test Accuracy_max,Test AUC_count,Test AUC_mean,Test AUC_std,Test AUC_min,Test AUC_max,Test Loss_count,Test Loss_mean,Test Loss_std,Test Loss_min,Test Loss_max
dual_Aug_rotate_50pct,12,32.12104026476542,1.9741906267233462,29.397627353668213,34.81887984275818,12,2270.937621931235,49.06207999857826,2186.488540649414,2343.071926832199,12,11.944375077883402,1.4454021380671684,9.833132028579712,13.850258350372314,12,0.8361111134290695,0.026003972667620945,0.7666666507720947,0.8666666746139526,12,0.936252569158872,0.01605560448771326,0.9023149013519287,0.9540123343467712,12,0.6868350704511007,0.1541793531696838,0.5117111206054688,1.0589603185653687
dual_Baseline_Raw,12,12.364256838957468,2.3192443980721014,11.236986875534058,19.713282346725464,12,1498.583342174689,4.131943746064129,1494.7335696220398,1510.3120176792145,12,11.30657035112381,0.7588036378259386,11.007091522216797,13.713729858398438,12,0.7916666666666666,0.09488903127454913,0.5222222208976746,0.8666666746139526,12,0.9029269268115362,0.06468628209564115,0.7066667079925537,0.9508642554283142,12,0.8007393976052603,0.17162651324261025,0.5258714556694031,1.0710325241088867
dual_CLAHE,12,14.230160335699717,3.343116694441398,12.7425696849823,24.770025968551636,12,1537.4231614669163,86.41972229934883,1478.9641599655151,1682.2321150302887,12,11.475420236587524,0.46402258893047305,11.053280115127563,12.476887941360474,12,0.8722222149372101,0.03124789657963725,0.8222222328186035,0.9222221970558167,12,0.9571219036976496,0.012027770313465875,0.938117265701294,0.9722838401794434,12,0.5024530912439028,0.11444552679737999,0.3579181134700775,0.6880804896354675
dual_CLAHE_Norm_min_max_Aug_rotate_100pct,12,53.571797609329224,4.957720032025955,40.01065135002136,57.482321977615356,12,2949.728562335173,61.874813681579425,2910.868428468704,3139.2927083969116,12,10.932625313599905,0.9219731001121265,9.495511770248413,13.354522705078125,12,0.8777777701616287,0.0157134830897788,0.8444444537162781,0.9111111164093018,12,0.9568158189455668,0.009905076262320595,0.9405246376991272,0.9725616574287415,12,0.5644926925500234,0.10854897327304197,0.37401798367500305,0.7190582156181335
dual_CLAHE_Norm_min_max_Aug_rotate_2x,12,65.65869605541229,0.8090960194124193,64.5315158367157,66.68478918075562,12,4325.37743806839,3.2530938906602804,4321.084592342377,4332.690258741379,12,10.995671709378561,0.6868112341943678,10.67983365058899,13.166217565536499,12,0.8666666646798452,0.03213328207563211,0.7888888716697693,0.8999999761581421,12,0.9481944640477499,0.011886251758659318,0.9160802364349365,0.9597223401069641,12,0.7158431559801102,0.23217549494720927,0.5148688554763794,1.408315658569336
dual_CLAHE_Norm_min_max_Aug_rotate_50pct,12,33.310364405314125,5.88579573829027,25.43212080001831,40.30747938156128,12,2225.9987715681395,69.08568455936455,2115.784087896347,2343.407069683075,12,12.373278220494589,1.3823481973334786,9.588456869125366,14.294692754745483,12,0.8611110945542654,0.044317994560162596,0.8111110925674438,0.9444444179534912,12,0.9513143052657446,0.02036026354113841,0.916913628578186,0.9848765730857849,12,0.5752381011843681,0.1713567762360632,0.3049028217792511,0.8796278238296509
dual_Norm_min_max,12,13.320476551850637,3.399741268755341,11.553770065307617,21.018099069595337,12,1523.5750809113185,57.539943529668406,1497.1230058670044,1704.0353438854218,12,11.645160714785257,1.1489770992074761,11.023526430130005,14.289010763168335,12,0.8620370378096899,0.026992267359735138,0.8111110925674438,0.8888888955116272,12,0.947376529375712,0.012657109717255697,0.9278395771980286,0.9719753861427307,12,0.5296661679943403,0.08760857820475118,0.37048447132110596,0.6535705327987671
dual_ROI,12,50.64400213956833,6.777691991687972,45.13511323928833,61.59978270530701,12,1542.8824530641239,71.69747113715664,1495.7448782920837,1715.6433312892914,12,25.082082907358807,3.390702785185139,22.092042684555054,32.502509355545044,12,0.8083333422740301,0.04857682716602257,0.6888889074325562,0.8666666746139526,12,0.9310982575019201,0.02343999920714536,0.8870678544044495,0.9625000953674316,12,0.6221587459246317,0.14050526513776818,0.4613434672355652,0.9388625025749207
early_channel_Aug_rotate_100pct,12,36.89652023712794,0.386527938162977,36.28295159339905,37.369704484939575,12,1673.0084170301755,2.0167648970869996,1670.4115180969238,1678.5945472717285,12,9.303444345792135,0.03475258957448704,9.24543023109436,9.350469827651978,12,0.8509259124596914,0.026992263456330313,0.8111110925674438,0.8999999761581421,12,0.9236213813225428,0.01628545216163791,0.8879629969596863,0.9464505910873413,12,0.9536091685295105,0.20236641243853162,0.6119164228439331,1.3205205202102661
early_channel_Aug_rotate_50pct,12,24.09551692008972,0.7558949303210518,22.915517807006836,25.363101482391357,12,1262.5695977608364,23.693936608810123,1226.9852809906006,1301.2697207927704,12,10.150520185629526,1.3399879619035169,8.837239980697632,11.63711428642273,12,0.8472222139437994,0.029634891132513854,0.7666666507720947,0.8777777552604675,12,0.9270447393258413,0.01606386988922168,0.8923147916793823,0.9503703713417053,12,0.8005848328272501,0.1329470509742784,0.5787025690078735,1.0609822273254395
early_channel_Baseline_Raw,12,11.489678700764975,0.04912542778270068,11.416229724884033,11.539502620697021,12,862.3950088421503,0.9302711955747471,860.8723475933075,864.0328240394592,12,11.678207655747732,0.04178646761060776,11.595622777938843,11.754671573638916,12,0.8138888875643412,0.02643203944027407,0.7777777910232544,0.855555534362793,12,0.9160725027322769,0.014396020013706717,0.8950307965278625,0.9372839331626892,12,0.9946383982896805,0.15565285915496585,0.6894910335540771,1.2249040603637695
early_channel_CLAHE,12,12.821657220522562,0.05874867160624167,12.75802493095398,12.899205446243286,12,834.988090634346,0.9683762769150482,833.2602632045746,837.0499320030212,12,11.793150742848715,0.03075449483727087,11.741522073745728,11.840888023376465,12,0.8249999930461248,0.07477987590649388,0.6000000238418579,0.8777777552604675,12,0.9334053546190262,0.06585285021353553,0.7290432453155518,0.9644135236740112,12,0.7433607826630274,0.556766689274772,0.47656744718551636,2.467670440673828
early_channel_CLAHE_Norm_min_max_Aug_rotate_100pct,12,39.50959046681722,0.4022994831796787,38.97102165222168,39.9978609085083,12,1623.280685345332,2.327755469502071,1620.5102984905243,1628.8785996437073,12,9.30591462055842,0.07605982621484897,9.16044282913208,9.428768157958984,12,0.8740740617116293,0.01447420073875739,0.855555534362793,0.8999999761581421,12,0.9516023447116216,0.010354766849510833,0.9357099533081055,0.9691665768623352,12,0.6540645435452461,0.11018436027217976,0.43017032742500305,0.8852784633636475
early_channel_CLAHE_Norm_min_max_Aug_rotate_2x,10,66.19433968067169,0.5815954625672757,65.04233574867249,66.79441809654236,10,2399.343930053711,2.8427862752554436,2396.350216150284,2403.4935114383698,10,11.567305779457092,0.0937810142095449,11.382585525512695,11.694798231124878,10,0.875555545091629,0.010210408757236954,0.855555534362793,0.8888888955116272,10,0.9486265420913697,0.01230394789341648,0.9270061254501343,0.9661728143692017,10,0.6424821645021439,0.1331581105917728,0.4751153290271759,0.8836266994476318
early_channel_CLAHE_Norm_min_max_Aug_rotate_50pct,12,26.749303857485454,0.8027598517803539,25.536806106567383,27.92591118812561,12,1236.8014645576477,21.24209185696576,1194.15416264534,1263.4619472026825,12,10.430242776870728,1.495474141969257,7.857548952102661,11.788127899169922,12,0.8703703681627909,0.02816231476922037,0.800000011920929,0.8999999761581421,12,0.9528369257847468,0.016723187406287764,0.9173457026481628,0.9745370745658875,12,0.586483895778656,0.16646610472200454,0.3652420938014984,0.8966429829597473
early_channel_Norm_min_max,12,11.81500001748403,0.044713119912012905,11.748193502426147,11.86478853225708,12,862.7851735154787,0.8799070094329617,860.8538613319397,864.3443489074707,12,11.797621031602224,0.03302175016234952,11.731194734573364,11.840944290161133,12,0.8342592567205429,0.018627617814397267,0.800000011920929,0.855555534362793,12,0.9440715114275614,0.014246446681057965,0.9149383306503296,0.9657408595085144,12,0.651391918460528,0.11591320688550169,0.46818846464157104,0.8847081661224365
